User ID,Time (UTC),Survey Completion,Publisher Category,Gender,Age,Geography,Weight,Question #1 Answer,Question #2 Answer,Question #3 Answer,Question #4 Answer,Question #5 Answer,Question #6 Answer,Question #7 Answer,Question #8 Answer,Response Time #1 (ms),Response Time #2 (ms),Response Time #3 (ms),Response Time #4 (ms),Response Time #5 (ms),Response Time #6 (ms),Response Time #7 (ms),Response Time #8 (ms)
1035534262,2021-08-21 15:00:00,Complete,News,Female,55-64,US-WEST-WA,0.5396489,*Beginner*: can use basic GIS functions,Archeological sites exploring the parts of historical places,Archeological sites exploring the parts of historical places,Areas of 6-character postcodes,Function mix for built areas,Archeological sites exploring the parts of historical places,Function mix for built areas,No,20370,35961,7719,6725,5548,5358,3149,7899
1078765336,2021-08-14 22:00:00,Complete,News,Male,18-24,US-MIDWEST-MN,1.3763994,*Beginner*: can use basic GIS functions,Archeological sites exploring the parts of historical places,Function mix for built areas,Areas of 6-character postcodes,Culturally significant protected areas,Archeological sites exploring the parts of historical places,Dog walking policies,No,8816,65113,24469,33114,26388,21084,32063,5513
1084461796,2021-08-14 15:00:00,Complete,News,Male,25-34,US-MIDWEST-MO,0.8751145,*Beginner*: can use basic GIS functions,Archeological sites exploring the parts of historical places,Areas of 6-character postcodes,Areas of 6-character postcodes,Areas of 6-character postcodes,City parks,Dog walking policies,Yes,2669,7986,1582,3607,1257,1314,1096,1948
1090113106,2021-08-14 13:00:00,Complete,News,Female,55-64,US-SOUTH-SC,0.7935539,*Beginner*: can use basic GIS functions,Culturally significant protected areas,Archeological sites exploring the parts of historical places,City parks,Areas of 6-character postcodes,Archeological sites exploring the parts of historical places,Function mix for built areas,No,27110,36827,7208,4374,2579,4004,2675,5538
1114764556,2021-08-26 23:00:00,Complete,News,Male,25-34,US-MIDWEST-IL,0.8751145,*Beginner*: can use basic GIS functions,Archeological sites exploring the parts of historical places,Archeological sites exploring the parts of historical places,Areas of 6-character postcodes,Function mix for built areas,City parks,Dog walking policies,No,5989,13668,7472,3641,2251,1510,1432,4250
1139791736,2021-08-25 00:00:00,Complete,Reference,Male,35-44,US-MIDWEST-IL,0.6254593,*Beginner*: can use basic GIS functions,Archeological sites exploring the parts of historical places,Areas of 6-character postcodes,Dog walking policies,Areas of 6-character postcodes,Archeological sites exploring the parts of historical places,Function mix for built areas,No,14218,18155,16947,11500,12360,6558,4459,3783
1192778428,2021-08-29 21:00:00,Complete,News,Male,65+,US-MIDWEST-MI,0.6016648,*Expert*: used GIS for 5 years or more,Dog walking policies,Archeological sites exploring the parts of historical places,Areas of 6-character postcodes,Culturally significant protected areas,Archeological sites exploring the parts of historical places,Function mix for built areas,No,64740,62939,10876,8898,5408,6031,2708,4032
1215851928,2021-08-24 19:00:00,Complete,News,Male,45-54,US-WEST-UT,0.491084,*Beginner*: can use basic GIS functions,Archeological sites exploring the parts of historical places,Archeological sites exploring the parts of historical places,Areas of 6-character postcodes,Culturally significant protected areas,Archeological sites exploring the parts of historical places,Function mix for built areas,No,14734,22169,19702,6552,5533,3968,7141,4465
1222558135,2021-09-05 05:00:00,Complete,Other,Female,55-64,US-NORTHEAST-NH,1.2100153,*Beginner*: can use basic GIS functions,Archeological sites exploring the parts of historical places,Archeological sites exploring the parts of historical places,Areas of 6-character postcodes,Culturally significant protected areas,Archeological sites exploring the parts of historical places,Function mix for built areas,No,22492,29670,11621,12632,8384,15755,4174,6113
1231288927,2021-08-23 13:00:00,Complete,News,Female,35-44,US-WEST-NM,1.2461696,*Beginner*: can use basic GIS functions,Culturally significant protected areas,Archeological sites exploring the parts of historical places,Areas of 6-character postcodes,Culturally significant protected areas,City parks,Function mix for built areas,No,12058,26468,6188,5517,5648,3396,2450,7194
